timestamp,open,high,low,close
2019-08-30,9.2,9.2,9.2,9.2
2019-08-31,9.2,9.2,9.2,9.2
2019-09-03,9.05,9.05,9.05,9.05
2019-09-04,9.29,9.29,9.29,9.29
2019-09-05,9.53,9.53,9.53,9.53
2019-09-06,9.42,9.42,9.42,9.42
2019-09-09,9.69,9.69,9.69,9.69
2019-09-10,10.05,10.05,10.05,10.05
2019-09-11,10.19,10.19,10.19,10.19
2019-09-12,10.37,10.37,10.37,10.37
2019-09-13,10.76,10.76,10.76,10.76
2019-09-16,10.53,10.53,10.53,10.53
2019-09-17,10.41,10.41,10.41,10.41
2019-09-18,10.32,10.32,10.32,10.32
2019-09-19,10.47,10.47,10.47,10.47
2019-09-20,10.39,10.39,10.39,10.39
2019-09-23,10.33,10.33,10.33,10.33
2019-09-24,9.95,9.95,9.95,9.95
2019-09-25,10.09,10.09,10.09,10.09
2019-09-26,9.8,9.8,9.8,9.8
2019-09-27,9.67,9.67,9.67,9.67
2019-09-28,9.67,9.67,9.67,9.67
2019-09-30,9.6799,9.6799,9.6799,9.6799
2019-10-01,9.23,9.23,9.23,9.23
2019-10-02,8.9,8.9,8.9,8.9
2019-10-03,8.87,8.87,8.87,8.87
2019-10-04,8.82,8.82,8.82,8.82
2019-10-07,8.78,8.78,8.78,8.78
2019-10-08,8.55,8.55,8.55,8.55
2019-10-09,8.43,8.43,8.43,8.43
2019-10-10,8.95,8.95,8.95,8.95
2019-10-11,9.58,9.58,9.58,9.58
2019-10-14,9.45,9.45,9.45,9.45
2019-10-15,9.53,9.53,9.53,9.53
2019-10-16,9.45,9.45,9.45,9.45
2019-10-17,9.45,9.45,9.45,9.45
2019-10-18,9.61,9.61,9.61,9.61
2019-10-21,9.82,9.82,9.82,9.82
2019-10-22,9.98,9.98,9.98,9.98
2019-10-23,10.19,10.19,10.19,10.19
2019-10-24,9.55,9.55,9.55,9.55
2019-10-25,10.13,10.13,10.13,10.13
2019-10-28,10.3,10.3,10.3,10.3
2019-10-29,10.2,10.2,10.2,10.2
2019-10-30,10.1,10.1,10.1,10.1
2019-10-31,9.84,9.84,9.84,9.84
2019-11-01,10.5,10.5,10.5,10.5
2019-11-04,10.87,10.87,10.87,10.87
2019-11-05,10.92,10.92,10.92,10.92
2019-11-06,10.62,10.62,10.62,10.62
2019-11-07,11.3,11.3,11.3,11.3
2019-11-08,11.48,11.48,11.48,11.48
2019-11-09,11.49,11.49,11.49,11.49
2019-11-11,11.11,11.11,11.11,11.11
2019-11-12,11.05,11.05,11.05,11.05
2019-11-13,10.86,10.86,10.86,10.86
2019-11-14,10.81,10.81,10.81,10.81
2019-11-15,11.15,11.15,11.15,11.15
2019-11-16,11.1501,11.1501,11.1501,11.1501
2019-11-18,11.01,11.01,11.01,11.01
2019-11-19,11.22,11.22,11.22,11.22
2019-11-20,11.0299,11.0299,11.0299,11.0299
2019-11-21,11.03,11.03,11.03,11.03
2019-11-22,11.42,11.42,11.42,11.42
2019-11-25,11.75,11.75,11.75,11.75
2019-11-26,11.71,11.71,11.71,11.71
2019-11-27,11.55,11.55,11.55,11.55
2019-11-28,11.5,11.5,11.5,11.5
2019-11-29,11.36,11.36,11.36,11.36
2019-12-02,11.4,11.4,11.4,11.4
2019-12-03,10.97,10.97,10.97,10.97
2019-12-04,11.15,11.15,11.15,11.15
2019-12-05,11.31,11.31,11.31,11.31
2019-12-06,11.62,11.62,11.62,11.62
2019-12-07,11.62,11.62,11.62,11.62
2019-12-09,12.1,12.1,12.1,12.1
2019-12-10,12.26,12.26,12.26,12.26
2019-12-11,12.84,12.84,12.84,12.84
2019-12-12,13.17,13.17,13.17,13.17
2019-12-13,12.9,12.9,12.9,12.9
2019-12-14,12.92,12.92,12.92,12.92
2019-12-16,12.95,12.95,12.95,12.95
2019-12-17,12.93,12.93,12.93,12.93
2019-12-18,12.99,12.99,12.99,12.99
2019-12-19,13.04,13.04,13.04,13.04
2019-12-20,12.73,12.73,12.73,12.73
2019-12-21,12.7299,12.7299,12.7299,12.7299
2019-12-23,12.85,12.85,12.85,12.85
2019-12-24,12.99,12.99,12.99,12.99
2019-12-26,13.14,13.14,13.14,13.14
2019-12-27,13.09,13.09,13.09,13.09
2019-12-28,13.0,13.0,13.0,13.0
2019-12-30,12.99,12.99,12.99,12.99
2019-12-31,13.15,13.15,13.15,13.15
2020-01-01,13.12,13.12,13.12,13.12
2020-01-02,13.2003,13.2003,13.2003,13.2003
2020-01-03,12.8399,12.8399,12.8399,12.8399
2020-01-04,12.81,12.81,12.81,12.81
2020-01-06,12.85,12.85,12.85,12.85
2020-01-07,12.95,12.95,12.95,12.95
2020-01-08,13.18,13.18,13.18,13.18
2020-01-09,12.96,12.96,12.96,12.96
2020-01-10,12.87,12.87,12.87,12.87
2020-01-13,13.52,13.52,13.52,13.52
2020-01-14,13.19,13.19,13.19,13.19
2020-01-15,12.98,12.98,12.98,12.98
2020-01-16,12.85,12.85,12.85,12.85
2020-01-17,12.83,12.83,12.83,12.83
2020-01-18,12.83,12.83,12.83,12.83
2020-01-21,12.33,12.33,12.33,12.33
2020-01-22,12.39,12.39,12.39,12.39
2020-01-23,12.03,12.03,12.03,12.03
2020-01-24,11.8,11.8,11.8,11.8
2020-01-25,11.8,11.8,11.8,11.8
2020-01-27,10.9,10.9,10.9,10.9
2020-01-28,11.43,11.43,11.43,11.43
2020-01-29,11.27,11.27,11.27,11.27
2020-01-30,11.32,11.32,11.32,11.32
2020-01-31,11.1,11.1,11.1,11.1
2020-02-03,11.4501,11.4501,11.4501,11.4501
2020-02-04,12.0,12.0,12.0,12.0
2020-02-05,12.42,12.42,12.42,12.42
2020-02-06,12.32,12.32,12.32,12.32
2020-02-07,11.79,11.79,11.79,11.79
2020-02-08,11.85,11.85,11.85,11.85
2020-02-10,12.19,12.19,12.19,12.19
2020-02-11,12.4,12.4,12.4,12.4
2020-02-12,12.57,12.57,12.57,12.57
2020-02-13,12.61,12.61,12.61,12.61
2020-02-14,12.24,12.24,12.24,12.24
2020-02-15,12.16,12.16,12.16,12.16
2020-02-18,12.02,12.02,12.02,12.02
2020-02-19,12.1099,12.1099,12.1099,12.1099
2020-02-20,12.0,12.0,12.0,12.0
2020-02-21,11.93,11.93,11.93,11.93
2020-02-22,11.85,11.85,11.85,11.85
2020-02-24,11.24,11.24,11.24,11.24
2020-02-25,10.88,10.88,10.88,10.88
2020-02-26,10.41,10.41,10.41,10.41
2020-02-27,9.8,9.8,9.8,9.8
2020-02-28,10.0,10.0,10.0,10.0
2020-02-29,10.0,10.0,10.0,10.0
2020-03-02,10.45,10.45,10.45,10.45
2020-03-03,9.9701,9.9701,9.9701,9.9701
2020-03-04,10.4,10.4,10.4,10.4
2020-03-05,10.0,10.0,10.0,10.0
2020-03-06,9.35,9.35,9.35,9.35
2020-03-07,9.43,9.43,9.43,9.43
2020-03-09,8.47,8.47,8.47,8.47
2020-03-10,8.9001,8.9001,8.9001,8.9001
2020-03-11,8.12,8.12,8.12,8.12
2020-03-12,6.91,6.91,6.91,6.91
2020-03-13,7.54,7.54,7.54,7.54
2020-03-14,7.47,7.47,7.47,7.47
2020-03-16,6.46,6.46,6.46,6.46
2020-03-17,6.28,6.28,6.28,6.28
2020-03-18,5.45,5.45,5.45,5.45
2020-03-19,5.68,5.68,5.68,5.68
2020-03-20,5.45,5.45,5.45,5.45
2020-03-23,5.6,5.6,5.6,5.6
2020-03-24,6.96,6.96,6.96,6.96
2020-03-25,7.25,7.25,7.25,7.25
2020-03-26,6.95,6.95,6.95,6.95
2020-03-27,6.29,6.29,6.29,6.29
2020-03-30,6.29,6.29,6.29,6.29
2020-03-31,6.61,6.61,6.61,6.61
2020-04-01,6.38,6.38,6.38,6.38
2020-04-02,6.41,6.41,6.41,6.41
2020-04-03,6.3199,6.3199,6.3199,6.3199
2020-04-06,7.29,7.29,7.29,7.29
2020-04-07,7.59,7.59,7.59,7.59
2020-04-08,8.05,8.05,8.05,8.05
2020-04-09,8.34,8.34,8.34,8.34
2020-04-10,8.26,8.26,8.26,8.26
2020-04-13,8.38,8.38,8.38,8.38
2020-04-14,8.3101,8.3101,8.3101,8.3101
2020-04-15,7.63,7.63,7.63,7.63
2020-04-16,8.02,8.02,8.02,8.02
2020-04-17,8.34,8.34,8.34,8.34
2020-04-18,8.28,8.28,8.28,8.28
2020-04-20,8.06,8.06,8.06,8.06
2020-04-21,7.49,7.49,7.49,7.49
2020-04-22,7.69,7.69,7.69,7.69
2020-04-23,7.83,7.83,7.83,7.83
2020-04-24,8.53,8.53,8.53,8.53
2020-04-25,8.51,8.51,8.51,8.51
2020-04-27,8.9,8.9,8.9,8.9
2020-04-28,8.91,8.91,8.91,8.91
2020-04-29,9.33,9.33,9.33,9.33
2020-04-30,8.72,8.72,8.72,8.72
2020-05-01,8.45,8.45,8.45,8.45
2020-05-04,8.68,8.68,8.68,8.68
2020-05-05,8.81,8.81,8.81,8.81
2020-05-06,8.54,8.54,8.54,8.54
2020-05-07,9.0,9.0,9.0,9.0
2020-05-08,9.25,9.25,9.25,9.25
2020-05-09,9.2499,9.2499,9.2499,9.2499
2020-05-11,8.98,8.98,8.98,8.98
2020-05-12,8.59,8.59,8.59,8.59
2020-05-13,8.43,8.43,8.43,8.43
2020-05-14,8.3,8.3,8.3,8.3
2020-05-15,8.4,8.4,8.4,8.4
2020-05-18,9.2401,9.2401,9.2401,9.2401
2020-05-19,9.15,9.15,9.15,9.15
2020-05-20,9.09,9.09,9.09,9.09
2020-05-21,8.99,8.99,8.99,8.99
2020-05-22,8.76,8.76,8.76,8.76
2020-05-26,9.25,9.25,9.25,9.25
2020-05-27,9.29,9.29,9.29,9.29
2020-05-28,9.08,9.08,9.08,9.08
2020-05-29,9.11,9.11,9.11,9.11
2020-06-01,9.39,9.39,9.39,9.39
2020-06-02,9.85,9.85,9.85,9.85
2020-06-03,10.22,10.22,10.22,10.22
2020-06-04,10.22,10.22,10.22,10.22
2020-06-05,10.92,10.92,10.92,10.92
2020-06-08,11.25,11.25,11.25,11.25
2020-06-09,11.25,11.25,11.25,11.25
2020-06-10,11.22,11.22,11.22,11.22
2020-06-11,10.0,10.0,10.0,10.0
2020-06-12,10.49,10.49,10.49,10.49
2020-06-15,10.6,10.6,10.6,10.6
2020-06-16,10.8,10.8,10.8,10.8
2020-06-17,10.7,10.7,10.7,10.7
2020-06-18,10.6,10.6,10.6,10.6
2020-06-19,10.45,10.45,10.45,10.45
2020-06-20,10.51,10.51,10.51,10.51
2020-06-22,10.92,10.92,10.92,10.92
2020-06-23,11.12,11.12,11.12,11.12
2020-06-24,10.51,10.51,10.51,10.51
2020-06-25,11.1,11.1,11.1,11.1
2020-06-26,10.8,10.8,10.8,10.8
2020-06-29,11.12,11.12,11.12,11.12
2020-06-30,11.65,11.65,11.65,11.65
2020-07-01,11.51,11.51,11.51,11.51
2020-07-02,11.52,11.52,11.52,11.52
2020-07-06,13.29,13.29,13.29,13.29
2020-07-07,12.81,12.81,12.81,12.81
2020-07-08,12.96,12.96,12.96,12.96
2020-07-09,12.91,12.91,12.91,12.91
2020-07-10,13.01,13.01,13.01,13.01
2020-07-13,13.0,13.0,13.0,13.0
2020-07-14,13.73,13.73,13.73,13.73
2020-07-15,13.6,13.6,13.6,13.6
2020-07-16,13.42,13.42,13.42,13.42
2020-07-17,13.58,13.58,13.58,13.58
2020-07-20,13.43,13.43,13.43,13.43
2020-07-21,13.52,13.52,13.52,13.52
2020-07-22,13.73,13.73,13.73,13.73
2020-07-23,13.31,13.31,13.31,13.31
2020-07-24,13.14,13.14,13.14,13.14
2020-07-27,13.64,13.64,13.64,13.64
2020-07-28,13.22,13.22,13.22,13.22
2020-07-29,13.31,13.31,13.31,13.31
2020-07-30,13.03,13.03,13.03,13.03
2020-07-31,12.93,12.93,12.93,12.93
2020-08-03,13.19,13.19,13.19,13.19
2020-08-04,12.91,12.91,12.91,12.91
2020-08-05,14.24,14.24,14.24,14.24
2020-08-06,14.61,14.61,14.61,14.61
2020-08-07,14.04,14.04,14.04,14.04
2020-08-10,14.44,14.44,14.44,14.44
2020-08-11,13.99,13.99,13.99,13.99
2020-08-12,13.97,13.97,13.97,13.97
2020-08-13,13.85,13.85,13.85,13.85
2020-08-14,13.85,13.85,13.85,13.85
2020-08-17,14.14,14.14,14.14,14.14
2020-08-18,14.45,14.45,14.45,14.45
2020-08-19,14.94,14.94,14.94,14.94
2020-08-20,14.84,14.84,14.84,14.84
2020-08-21,14.37,14.37,14.37,14.37
2020-08-22,14.37,14.37,14.37,14.37
2020-08-24,14.61,14.61,14.61,14.61
2020-08-25,14.43,14.43,14.43,14.43
2020-08-26,15.01,15.01,15.01,15.01
2020-08-27,14.95,14.95,14.95,14.95
2020-08-28,15.65,15.65,15.65,15.65
2020-08-31,15.6,15.6,15.6,15.6
2020-09-01,16.2,16.2,16.2,16.2
2020-09-02,16.33,16.33,16.33,16.33
2020-09-03,15.4,15.4,15.4,15.4
2020-09-04,16.05,16.05,16.05,16.05
2020-09-08,15.63,15.63,15.63,15.63
2020-09-09,16.37,16.37,16.37,16.37
2020-09-10,15.78,15.78,15.78,15.78
2020-09-11,16.23,16.23,16.23,16.23
